method,transition,metric,variable,value
mcd,ce11->hg38,pr_auc,better_count,0
mcd,ce11->hg38,roc_auc,better_count,0
mcd,ce11->mm10,accuracy,better_count,1
mcd,ce11->mm10,pr_auc,better_count,2
mcd,ce11->mm10,roc_auc,better_count,1
mdd,mm10->ce11,accuracy,better_count,1
mdd,mm10->ce11,pr_auc,better_count,1
mdd,mm10->ce11,roc_auc,better_count,1
mdd,hg38->ce11,accuracy,better_count,0
mdd,hg38->ce11,pr_auc,better_count,0
mdd,hg38->ce11,roc_auc,better_count,2
mdd,ce11->hg38,accuracy,better_count,1
mdd,ce11->hg38,pr_auc,better_count,1
mdd,ce11->hg38,roc_auc,better_count,2
mdd,ce11->mm10,accuracy,better_count,2
mdd,ce11->mm10,pr_auc,better_count,3
mdd,ce11->mm10,roc_auc,better_count,3
adda,dm6->ce11,accuracy,better_count,1
adda,dm6->ce11,pr_auc,better_count,0
adda,dm6->ce11,roc_auc,better_count,1
adda,ce11->dm6,accuracy,better_count,1
adda,ce11->dm6,pr_auc,better_count,1
adda,ce11->dm6,roc_auc,better_count,1
afn,dm6->ce11,accuracy,better_count,0
afn,dm6->ce11,pr_auc,better_count,1
afn,dm6->ce11,roc_auc,better_count,1
afn,ce11->dm6,accuracy,better_count,1
afn,ce11->dm6,pr_auc,better_count,2
afn,ce11->dm6,roc_auc,better_count,2
cdan,dm6->ce11,accuracy,better_count,0
cdan,dm6->ce11,pr_auc,better_count,0
cdan,dm6->ce11,roc_auc,better_count,0
cdan,ce11->dm6,accuracy,better_count,1
cdan,ce11->dm6,pr_auc,better_count,1
cdan,ce11->dm6,roc_auc,better_count,1
dan,dm6->ce11,accuracy,better_count,0
dan,dm6->ce11,pr_auc,better_count,0
dan,dm6->ce11,roc_auc,better_count,0
dan,ce11->dm6,accuracy,better_count,1
dan,ce11->dm6,pr_auc,better_count,1
dan,ce11->dm6,roc_auc,better_count,2
dann,dm6->ce11,accuracy,better_count,0
dann,dm6->ce11,pr_auc,better_count,0
dann,dm6->ce11,roc_auc,better_count,0
dann,ce11->dm6,accuracy,better_count,0
dann,ce11->dm6,pr_auc,better_count,0
dann,ce11->dm6,roc_auc,better_count,0
